town,townKey,medianHouseholdIncome
Abington,abington,119787
Acton,acton,153338
Acushnet,acushnet,91050
Adams,adams,56285
Agawam Town,agawam,82359
Alford,alford,122292
Amesbury Town,amesbury,100599
Amherst Town,amherst,65938
Andover,andover,167591
Aquinnah,aquinnah,117813
Arlington,arlington,141440
Ashburnham,ashburnham,115420
Ashby,ashby,110536
Ashfield,ashfield,80216
Ashland,ashland,127106
Athol,athol,65458
Attleboro,attleboro,93266
Auburn,auburn,100786
Avon,avon,129487
Ayer,ayer,105047
Barnstable Town,barnstable,97348
Barre,barre,95607
Becket,becket,75625
Bedford,bedford,158964
Belchertown,belchertown,99089
Bellingham,bellingham,120966
Belmont,belmont,178188
Berkley,berkley,123877
Berlin,berlin,122411
Bernardston,bernardston,78427
Beverly,beverly,103739
Billerica,billerica,139706
Blackstone,blackstone,98986
Blandford,blandford,88587
Bolton,bolton,198475
Boston,boston,94755
Bourne,bourne,95349
Boxborough,boxborough,151000
Boxford,boxford,192605
Boylston,boylston,124732
Braintree Town,braintree,125305
Brewster,brewster,94798
Bridgewater Town,bridgewater,112482
Brimfield,brimfield,101477
Brockton,brockton,77089
Brookfield,brookfield,71875
Brookline,brookline,140631
Buckland,buckland,80995
Burlington,burlington,142207
Cambridge,cambridge,126469
Canton,canton,128341
Carlisle,carlisle,250001
Carver,carver,78955
Charlemont,charlemont,59327
Charlton,charlton,119809
Chatham,chatham,86674
Chelmsford,chelmsford,140519
Chelsea,chelsea,72220
Cheshire,cheshire,72028
Chester,chester,87308
Chesterfield,chesterfield,102031
Chicopee,chicopee,66927
Chilmark,chilmark,166250
Clarksburg,clarksburg,78421
Clinton,clinton,93849
Cohasset,cohasset,187060
Colrain,colrain,86429
Concord,concord,212315
Conway,conway,92471
County subdivisions not defined,county subdivisions not defined,-666666666
Cummington,cummington,101250
Dalton,dalton,81168
Danvers,danvers,117072
Dartmouth,dartmouth,98662
Dedham,dedham,124375
Deerfield,deerfield,103110
Dennis,dennis,88183
Dighton,dighton,137616
Douglas,douglas,147185
Dover,dover,250001
Dracut,dracut,111539
Dudley,dudley,85179
Dunstable,dunstable,202379
Duxbury,duxbury,171471
East Bridgewater,east bridgewater,128679
East Brookfield,east brookfield,76382
East Longmeadow,east longmeadow,101540
Eastham,eastham,72683
Easthampton Town,easthampton,72925
Easton,easton,121458
Edgartown,edgartown,89710
Egremont,egremont,97500
Erving,erving,74550
Essex,essex,152371
Everett,everett,79658
Fairhaven,fairhaven,92500
Fall River,fall river,53933
Falmouth,falmouth,92862
Fitchburg,fitchburg,70659
Florida,florida,90078
Foxborough,foxborough,108559
Framingham,framingham,98179
Franklin Town,franklin,142788
Freetown,freetown,144722
Gardner,gardner,62948
Georgetown,georgetown,152014
Gill,gill,90000
Gloucester,gloucester,87898
Goshen,goshen,93125
Gosnold,gosnold,-666666666
Grafton,grafton,124548
Granby,granby,110188
Granville,granville,89643
Great Barrington,great barrington,82484
Greenfield,greenfield,53961
Groton,groton,189180
Groveland,groveland,135521
Hadley,hadley,117580
Halifax,halifax,106851
Hamilton,hamilton,126331
Hampden,hampden,110703
Hancock,hancock,93125
Hanover,hanover,174821
Hanson,hanson,111897
Hardwick,hardwick,81250
Harvard,harvard,200688
Harwich,harwich,87948
Hatfield,hatfield,100381
Haverhill,haverhill,87675
Hawley,hawley,99375
Heath,heath,93750
Hingham,hingham,181017
Hinsdale,hinsdale,76129
Holbrook,holbrook,107768
Holden,holden,142880
Holland,holland,86806
Holliston,holliston,154684
Holyoke,holyoke,51892
Hopedale,hopedale,115216
Hopkinton,hopkinton,204418
Hubbardston,hubbardston,102344
Hudson,hudson,107202
Hull,hull,127112
Huntington,huntington,94871
Ipswich,ipswich,124405
Kingston,kingston,115863
Lakeville,lakeville,126182
Lancaster,lancaster,130444
Lanesborough,lanesborough,84419
Lawrence,lawrence,57903
Lee,lee,74222
Leicester,leicester,95776
Lenox,lenox,97569
Leominster,leominster,81556
Leverett,leverett,113750
Lexington,lexington,219402
Leyden,leyden,105357
Lincoln,lincoln,180750
Littleton,littleton,146250
Longmeadow,longmeadow,144639
Lowell,lowell,76205
Ludlow,ludlow,78981
Lunenburg,lunenburg,109753
Lynn,lynn,74715
Lynnfield,lynnfield,172484
Malden,malden,95298
Manchester-by-the-Sea,manchester,197875
Mansfield,mansfield,131409
Marblehead,marblehead,165859
Marion,marion,120227
Marlborough,marlborough,95047
Marshfield,marshfield,125525
Mashpee,mashpee,95852
Mattapoisett,mattapoisett,117308
Maynard,maynard,119549
Medfield,medfield,214801
Medford,medford,118089
Medway,medway,174357
Melrose,melrose,126854
Mendon,mendon,129837
Merrimac,merrimac,116477
Methuen Town,methuen,103270
