townName,medianIncome,medianHomeValueCensus
Abington,119787,516300
Acton,153338,757500
Acushnet,91050,408300
Adams,56285,199800
Agawam Town,82359,290000
Alford,122292,814400
Amesbury Town,100599,475400
Amherst Town,65938,454000
Andover,167591,813800
Aquinnah,117813,1823200
Arlington,141440,885000
Ashburnham,115420,368200
Ashby,110536,362200
Ashfield,80216,373800
Ashland,127106,586000
Athol,65458,243900
Attleboro,93266,409100
Auburn,100786,363100
Avon,129487,482800
Ayer,105047,417800
Barnstable Town,97348,559200
Barre,95607,329300
Becket,75625,349200
Bedford,158964,878200
Belchertown,99089,350100
Bellingham,120966,425900
Belmont,178188,1108800
Berkley,123877,472100
Berlin,122411,566800
Bernardston,78427,305500
Beverly,103739,621900
Billerica,139706,570500
Blackstone,98986,394600
Blandford,88587,275400
Bolton,198475,722300
Boston,94755,710400
Bourne,95349,543100
Boxborough,151000,671800
Boxford,192605,879900
Boylston,124732,578700
Braintree Town,125305,623200
Brewster,94798,621300
Bridgewater Town,112482,500600
Brimfield,101477,379700
Brockton,77089,405500
Brookfield,71875,313200
Brookline,140631,1233100
Buckland,80995,291200
Burlington,142207,679400
Cambridge,126469,1040500
Canton,128341,665500
Carlisle,250001,1055600
Carver,78955,409800
Charlemont,59327,312800
Charlton,119809,405200
Chatham,86674,857900
Chelmsford,140519,565000
Chelsea,72220,476500
Cheshire,72028,237000
Chester,87308,275600
Chesterfield,102031,382400
Chicopee,66927,251800
Chilmark,166250,1788900
Clarksburg,78421,212500
Clinton,93849,348000
Cohasset,187060,1092500
Colrain,86429,267200
Concord,212315,1134500
Conway,92471,376700
County subdivisions not defined,-666666666,-666666666
Cummington,101250,283100
Dalton,81168,289300
Danvers,117072,611200
Dartmouth,98662,470500
Dedham,124375,630400
Deerfield,103110,385000
Dennis,88183,564500
Dighton,137616,486900
Douglas,147185,439800
Dover,250001,1285800
Dracut,111539,465900
Dudley,85179,372400
Dunstable,202379,624300
Duxbury,171471,826300
East Bridgewater,128679,474000
East Brookfield,76382,342400
East Longmeadow,101540,342000
Eastham,72683,668400
Easthampton Town,72925,343800
Easton,121458,560200
Edgartown,89710,1171700
Egremont,97500,549300
Erving,74550,241500
Essex,152371,826700
Everett,79658,605200
Fairhaven,92500,407300
Fall River,53933,357800
Falmouth,92862,580000
Fitchburg,70659,295500
Florida,90078,220600
Foxborough,108559,581900
Framingham,98179,600600
Franklin Town,142788,567100
Freetown,144722,491600
Gardner,62948,271300
Georgetown,152014,610800
Gill,90000,323900
Gloucester,87898,587800
Goshen,93125,318100
Gosnold,-666666666,700000
Grafton,124548,481500
Granby,110188,319600
Granville,89643,328700
Great Barrington,82484,474800
Greenfield,53961,252000
Groton,189180,673500
Groveland,135521,571900
Hadley,117580,453300
Halifax,106851,442800
Hamilton,126331,687600
Hampden,110703,345200
Hancock,93125,348300
Hanover,174821,706200
Hanson,111897,496200
Hardwick,81250,282000
Harvard,200688,798300
Harwich,87948,588100
Hatfield,100381,440000
Haverhill,87675,426900
Hawley,99375,290000
Heath,93750,284500
Hingham,181017,1075100
Hinsdale,76129,272900
Holbrook,107768,436500
Holden,142880,433300
Holland,86806,288700
Holliston,154684,620500
Holyoke,51892,255300
Hopedale,115216,456000
Hopkinton,204418,726100
Hubbardston,102344,342100
Hudson,107202,480300
Hull,127112,606100
Huntington,94871,283900
Ipswich,124405,701400
Kingston,115863,562000
Lakeville,126182,533800
Lancaster,130444,467400
Lanesborough,84419,285500
Lawrence,57903,393500
Lee,74222,328900
Leicester,95776,377800
Lenox,97569,469600
Leominster,81556,345000
Leverett,113750,444700
Lexington,219402,1147900
Leyden,105357,344800
Lincoln,180750,1180100
Littleton,146250,633000
Longmeadow,144639,425800
Lowell,76205,395100
Ludlow,78981,303900
Lunenburg,109753,442800
Lynn,74715,472600
Lynnfield,172484,904200
Malden,95298,607500
Manchester-by-the-Sea,197875,932000
Mansfield,131409,571000
Marblehead,165859,906200
Marion,120227,585500
Marlborough,95047,485400
Marshfield,125525,621300
Mashpee,95852,515800
Mattapoisett,117308,671900
Maynard,119549,494200
Medfield,214801,869400
Medford,118089,715500
Medway,174357,588900
Melrose,126854,796100
Mendon,129837,605500
Merrimac,116477,531300
Methuen Town,103270,472200
Middleborough,91914,426800
Middlefield,89063,293500
Middleton,171458,713000
Milford,92726,442500
Millbury,116000,415600
Millis,149021,570300
Millville,115789,418000
Milton,178053,896500
Monroe,64375,147900
Monson,84067,315500
Montague,72344,262100
Monterey,131111,555200
Montgomery,125000,338600
Mount Washington,127813,593800
Nahant,111004,686000
Nantucket,119750,1387000
Natick,134591,740700
Needham,212241,1146000
New Ashford,81500,360400
New Bedford,56025,324400
New Braintree,99375,387200
New Marlborough,94038,486800
New Salem,78611,346800
Newbury,176196,776100
Newburyport,144259,792400
Newton,184989,1202500
Norfolk,197379,694300
North Adams,48521,185300
North Andover,134319,670000
North Attleborough Town,109426,462700
North Brookfield,81010,316500
North Reading,150820,680000
Northampton,78467,398000
Northborough,174358,598500
Northbridge,103355,429600
Northfield,102470,337200
Norton,127404,476900
Norwell,182637,799600
Norwood,97110,613500
Oak Bluffs,117927,893000
Oakham,96207,379600
Orange,54105,223900
Orleans,98798,816700
Otis,104089,374500
Oxford,104000,345000
Palmer Town,78789,255000
Paxton,133750,464700
Peabody,95278,566200
Pelham,121667,412800
Pembroke,141332,550300
Pepperell,126976,459800
Peru,83125,255400
Petersham,107656,375000
Phillipston,92027,339300
Pittsfield,68386,233700
Plainfield,78750,278900
Plainville,95625,461200
Plymouth,111975,494700
Plympton,119750,499300
Princeton,150577,496400
Provincetown,104500,769500
Quincy,95711,598100
Randolph Town,103129,463500
Raynham,117950,508600
Reading,163725,741100
Rehoboth,126161,487000
Revere,81121,566200
Richmond,96923,537700
Rochester,119239,541600
Rockland,101475,452300
Rockport,93227,692500
Rowe,87917,262100
Rowley,117177,633900
Royalston,101705,324000
Russell,105833,285100
Rutland,155504,439200
Salem,85137,497400
Salisbury,102521,450100
Sandisfield,88250,338400
Sandwich,118799,545000
Saugus,100819,589500
Savoy,55000,267200
Scituate,131861,789000
Seekonk,116310,461600
Sharon,183724,697900
Sheffield,83889,400700
Shelburne,79676,371100
Sherborn,247500,944400
Shirley,121875,412700
Shrewsbury,136225,555500
Shutesbury,108021,335100
Somerset,111720,389400
Somerville,127056,899400
South Hadley,93646,324800
Southampton,125534,426900
Southborough,192006,796700
Southbridge Town,59397,267000
Southwick,108833,375700
Spencer,79086,368300
Springfield,51339,222700
Sterling,136027,467400
Stockbridge,131667,542300
Stoneham,112635,629000
Stoughton,104164,496700
Stow,177862,657900
Sturbridge,129606,397000
Sudbury,234634,939400
Sunderland,61442,391200
Sutton,156215,523000
Swampscott,128964,690800
Swansea,116627,414900
Taunton,79715,388200
Templeton,103277,324800
Tewksbury,125966,543800
Tisbury,70724,943300
Tolland,106458,331700
Topsfield,176698,810400
Townsend,120238,391700
Truro,94637,771000
Tyngsborough,144375,533300
Tyringham,150000,613100
Upton,155952,561300
Uxbridge,127083,415500
Wakefield,130320,670100
Wales,93971,272600
Walpole,159720,647600
Waltham,116560,705700
Ware,69666,269400
Wareham,82741,398000
Warren,66587,339500
Warwick,95000,301400
Washington,89345,358900
Watertown Town,123422,737600
Wayland,221250,936900
Webster,68934,339600
Wellesley,250001,1513400
Wellfleet,114074,751000
Wendell,69213,265700
Wenham,187652,841800
West Boylston,99674,399200
West Bridgewater,124483,501000
West Brookfield,78988,333100
West Newbury,189048,765800
West Springfield Town,70401,307900
West Stockbridge,99961,469400
West Tisbury,194526,1178600
Westborough,134474,637900
Westfield,82847,295500
Westford,181523,689400
Westhampton,95192,394800
Westminster,101161,394000
Weston,250001,1586100
Westport,100703,483800
Westwood,205000,985800
Weymouth Town,100077,516200
Whately,102734,393200
Whitman,107794,456400
Wilbraham,124004,384300
Williamsburg,108500,379500
Williamstown,97813,449800
Wilmington,161473,646200
Winchendon,85160,295400
Winchester,218176,1181700
Windsor,104766,353900
Winthrop Town,106357,606900
Woburn,107754,641800
Worcester,67544,339500
Worthington,91250,346800
Wrentham,147930,599500
Yarmouth,81985,480500
