cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,population,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
abington,19,799000.0,784052.5263157894,343.77676240208876,5045.0,119787.0,17008.0,8.335748031496063,3.0,29.0,6.670172890213462,1.9786422200198217,Abington
acton,12,812450.0,845808.3333333334,345.3121439963545,5062.5,153338.0,23961.0,8.225520248043257,3.1,30.0,5.298425700087389,2.5240823045267486,Acton
acushnet,9,599700.0,628599.8888888889,246.99341021416805,3742.0,91050.0,10563.0,8.2368,3.6,26.5,6.586490939044481,2.027659005879209,Acushnet
adams,23,259900.0,293865.2173913043,158.62812845291757,1719.0,56285.0,8106.0,8.547749134282418,2.6,38.5,4.617571288975748,2.728572813651348,Adams
agawam,24,387450.0,453725.0,254.4935064935065,2570.0,82359.0,28510.0,8.699453993933266,3.0,20.5,4.7044038902852146,2.6705252918287936,Agawam Town
alford,5,1890000.0,2693000.0,411.6570831155253,12204.0,122292.0,389.0,8.523428571428573,2.4,4.5,15.454813070356197,0.8350540806293019,Alford
amesbury,24,660500.0,740279.1666666666,316.8516373930387,4136.5,100599.0,17277.0,8.21534560731109,3.0,26.25,6.5656716269545425,2.0266529674845883,Amesbury Town
amherst,2,1125000.0,1125000.0,222.99070557015375,7394.5,65938.0,35472.0,8.679733333333335,2.6,11.25,17.061481998240772,0.7430973471273694,Amherst Town
andover,51,1099000.0,1288722.3725490195,391.6666666666667,6695.0,167591.0,36465.0,8.213938144329898,3.2,20.0,6.55763137638656,2.0860219068956933,Andover
arlington,42,998500.0,1089777.380952381,582.314862599874,6419.0,141440.0,46015.0,8.225413575754862,3.4,62.66666666666667,7.059530542986425,1.8362154021914108,Arlington
ashburnham,16,539450.0,543093.75,300.3714020427112,3522.0,115420.0,6357.0,8.468114285714288,2.6,13.75,4.673800034656039,2.730929396176415,Ashburnham
ashby,4,432500.0,428500.0,209.59444429791012,2804.0,110536.0,3188.0,8.224208416833669,2.6,5.0,3.9127524064558155,3.2850689491203044,Ashby
ashfield,3,495000.0,490000.0,189.70672356032614,4311.0,80216.0,1809.0,8.621866666666667,2.9000000000000004,5.5,6.170838735414381,1.550606974406557,Ashfield
ashland,6,719500.0,717983.3333333334,337.8834946434319,4483.5,127106.0,18694.0,8.225985607071049,3.2,20.5,5.6606297106352175,2.3624772313296902,Ashland
ashley falls,1,695000.0,695000.0,171.8595450049456,4499.0,,,8.544863309352518,,19.5,,,Ashley Falls
assonet,5,619900.0,582960.0,341.3546255506608,3869.0,,,8.237166666666667,3.5999999999999996,15.75,,,Assonet
athol,16,297000.0,323543.75,212.7237848299656,2249.0,65458.0,11937.0,8.469540703211942,2.5,22.5,4.537260533471844,2.425448347413665,Athol
attleboro,51,589900.0,644256.8039215687,310.84804254356186,3778.0,93266.0,46499.0,8.237413976116763,3.3,20.333333333333332,6.3249201209443955,2.0572172225163228,Attleboro
auburn,20,609900.0,632600.0,290.20907452231563,3912.5,100786.0,16840.0,8.467885607126115,2.8,19.25,6.051435715277916,2.146666666666667,Auburn
avon,7,629000.0,656242.8571428572,348.60529986053,3931.0,129487.0,4753.0,8.248984615384614,3.2,38.0,4.85763049572544,2.744997032137709,Avon
ayer,2,379950.0,379950.0,294.732800982801,2375.5,105047.0,8491.0,8.26949343947986,3.0999999999999996,27.5,3.6169524117775853,3.6850838419981757,Ayer
baldwinville,1,424900.0,424900.0,368.83680555555554,2727.0,,,8.47173452577077,2.4,16.0,,,Baldwinville
barnstable,110,819000.0,1418059.0636363637,447.0486111111111,4851.0,97348.0,49232.0,7.818716981132076,3.6,24.0,8.413115831860953,1.672301243729815,Barnstable Town
barre,4,322450.0,364975.0,139.7909669211196,2426.5,95607.0,5535.0,8.769552631578948,2.6,9.25,3.372660997625697,3.28343292808572,Barre
becket,50,417250.0,375461.98,299.49464591820833,3431.0,75625.0,2049.0,8.545843071786312,2.2,7.25,5.517355371900827,1.8368065675701932,Becket
bedford,6,1132450.0,1166433.3333333333,448.38336989798046,7552.5,158964.0,14343.0,8.214484570516746,3.0,23.0,7.123940011574947,1.753988745448527,Bedford
belchertown,1,360000.0,360000.0,327.27272727272725,2369.0,99089.0,15366.0,8.686333333333335,3.0,,3.6330975183925562,3.4856127761362035,Belchertown
bellingham,11,519900.0,646454.4545454546,337.8962536023055,3281.0,120966.0,17160.0,8.249009801960392,3.2,30.0,4.297901889787213,3.072386467540384,Bellingham
belmont,13,1780000.0,1775384.6153846155,667.6462730430136,11073.0,178188.0,27009.0,8.364753901560624,3.2,55.333333333333336,9.989449345634947,1.341009663144586,Belmont
berkley,3,625000.0,591666.6666666666,284.09090909090907,3899.0,123877.0,6789.0,8.238189473684212,3.4,12.0,5.0453272197421635,2.647623322219373,Berkley
berlin,6,646950.0,806466.6666666666,337.2445014808475,4519.0,122411.0,3311.0,8.465862330623306,3.0,13.5,5.285064250761778,2.257339381869145,Berlin
bernardston,7,479900.0,576507.1428571428,294.49360865290066,3135.0,78427.0,2079.0,8.62304646801417,2.2,17.0,6.11906613793719,2.08471557682084,Bernardston
beverly,23,650000.0,1214595.608695652,456.25,4046.0,103739.0,42408.0,8.215322033898305,3.4,48.5,6.265724558748397,2.1366576042181578,Beverly
billerica,20,744450.0,701880.0,354.5972813313854,4639.0,139706.0,41700.0,8.225760309811317,3.2,27.5,5.3286902495240005,2.509628511891931,Billerica
blackstone,11,459900.0,467318.1818181818,273.65819209039546,2952.0,98986.0,9211.0,8.467452631578947,3.5,37.5,4.64611157133332,2.7943202348690157,Blackstone
blandford,9,139900.0,198552.77777777778,115.66988920734055,2050.0,88587.0,1165.0,10.964571890973339,2.325,11.0,1.579238488717306,3.6010975609756097,Blandford
bolton,7,825000.0,838557.1428571428,321.924108853967,5132.0,198475.0,5698.0,8.466953846153846,3.2,10.0,4.15669479783348,3.222833852948818,Bolton
bondsville,1,319900.0,319900.0,169.4385593220339,2109.0,,,8.70234448265083,3.4,22.0,,,Bondsville
boston,823,889000.0,1442046.5905224788,748.0776165888042,5644.5,94755.0,663972.0,8.345877189595678,3.4,81.0,9.38209065484671,1.398928160155904,Boston
bourne,100,767450.0,1304473.5,381.9742489270386,4793.0,95349.0,20093.0,8.334668335419273,4.0,18.5,8.048852111715906,1.6577821823492593,Bourne
boxboro,4,1120000.0,1102250.0,345.31772575250835,6956.0,,,8.201027793262725,3.2,11.5,,,Boxboro
boxborough,2,459500.0,459500.0,303.8016843199923,3725.0,151000.0,5468.0,10.731900699101157,3.0,28.75,3.043046357615894,3.3780760626398214,Boxborough
boxford,11,1249000.0,1393363.6363636365,326.57068062827227,7622.0,192605.0,8155.0,8.200707305723592,3.4,9.0,6.484774538563381,2.1058011895390534,Boxford
boylston,5,619900.0,609940.0,343.24473975636766,4305.0,124732.0,4896.0,9.107339893531215,3.2,14.5,4.969855369913094,2.4144792876500194,Boylston
braintree,29,809900.0,878420.6896551724,384.14502164502164,5060.0,125305.0,38762.0,8.247614457831327,3.0,41.0,6.463429232672279,2.063652832674572,Braintree Town
brewster,34,799499.5,1042761.7352941176,549.7584541062802,4768.5,94798.0,10367.0,7.819245104491163,3.4,18.5,8.433716956053924,1.6566705113417917,Brewster
bridgewater,24,714900.0,733861.5,333.3307154134054,4514.0,112482.0,28669.0,8.335877694930929,3.4,18.5,6.355683576038833,2.076539654408507,Bridgewater Town
brimfield,24,152449.5,371829.125,229.74351146055437,2606.0,101477.0,3694.0,8.469717223650388,2.8,9.0,1.5023059412477704,3.2449795344077765,Brimfield
brockton,59,546000.0,593034.966101695,320.22415897435894,3457.5,77089.0,105080.0,8.335804167904168,3.0,41.666666666666664,7.082722567422071,1.8580139792721138,Brockton
brookfield,4,474950.0,497475.0,204.83096943244297,3046.5,71875.0,3442.0,8.46747149321267,2.7,14.5,6.608,1.966053941681711,Brookfield
brookline,140,1937500.0,2492873.492857143,822.4085365853658,11853.5,140631.0,62822.0,8.535965179395058,3.4,77.66666666666667,13.777189951006536,0.9886742312397182,Brookline
burlington,8,889900.0,1061761.75,417.173454390995,6065.5,142207.0,26223.0,8.225161370301596,3.2,32.5,6.257779152924962,1.95376858187014,Burlington
cambridge,153,1250000.0,1847482.6666666667,891.6917007320087,8424.0,126469.0,117794.0,8.582140540540541,3.4,89.66666666666667,9.883845052937874,1.2510782684393795,Cambridge
canton,31,750000.0,868751.1935483871,445.34412955465586,5143.0,128341.0,24459.0,9.03510597791598,3.0,29.0,5.843806733623706,2.0795417719878153,Canton
carlisle,7,1275000.0,2036285.7142857143,397.94007490636704,7898.0,250001.0,5209.0,8.212362030905078,3.0,20.5,5.0999796000816,2.6378091499957796,Carlisle
carver,18,499000.0,597263.8888888889,311.4703674494616,3151.0,78955.0,11645.0,8.336320915592067,3.8,15.0,6.320055727946299,2.088093726859198,Carver
charlemont,8,500000.0,649993.75,215.04828654089076,3265.5,59327.0,1054.0,8.620890225563912,2.4000000000000004,9.5,8.427865895797867,1.5139845863318533,Charlemont
charlton,16,492447.5,492587.1875,254.43571428571428,3159.0,119809.0,13359.0,8.467571580063627,2.8,10.5,4.1102713485631295,3.1605202068165035,Charlton
chatham,32,2225000.0,3309359.375,979.3063471929362,13156.5,86674.0,6643.0,7.804939490810076,3.4,18.5,25.67090476959642,0.548993526647158,Chatham
chelmsford,19,779000.0,699442.1052631579,349.1291711670741,4873.5,140519.0,36220.0,8.226278284785598,2.8,22.0,5.543734299276254,2.402773502958175,Chelmsford
chelsea,20,572000.0,744530.0,448.3007719506389,3682.0,72220.0,39460.0,8.509760427071214,3.4,62.5,7.920243699806148,1.6345283360492484,Chelsea
cheshire,10,399949.5,422559.9,172.05926821892953,2850.0,72028.0,3234.0,8.546307401905583,2.4,11.0,5.552694785361249,2.106081871345029,Cheshire
chester,8,319150.0,261712.5,238.85202577637622,2061.0,87308.0,1322.0,8.699636020596676,2.2,9.5,3.655449672424062,3.5301633511240498,Chester
chicopee,44,310450.0,329243.13636363635,216.2516382699869,2095.0,66927.0,55213.0,8.70002542803865,2.8,37.33333333333333,4.63863612592825,2.6621718377088306,Chicopee
chilmark,2,3352500.0,3352500.0,2160.878112712975,19133.5,166250.0,1726.0,3.9770993176648974,3.4,11.75,20.165413533834588,0.7240790585447862,Chilmark
clarksburg,6,277000.0,286483.3333333333,208.33333333333334,2066.0,78421.0,1723.0,8.547718681318681,2.2,6.75,3.5322171357161984,3.1631574701516616,Clarksburg
clinton,6,464900.0,474766.6666666667,364.83111548352576,3217.5,93849.0,15430.0,8.469292745871755,2.9,15.5,4.953702223785016,2.4306915306915307,Clinton
cohasset,25,1799999.0,2168701.88,624.9995833333334,11228.0,187060.0,8358.0,8.233871241039578,3.4,19.0,9.622575644178339,1.3883446146538416,Cohasset
colrain,4,337500.0,378750.0,199.2287917737789,2549.5,86429.0,1663.0,8.666864516129033,3.0,7.0,3.9049393143505076,2.8250310518402304,Colrain
concord,14,1515000.0,1805778.5714285714,484.3582466874551,9776.0,212315.0,18226.0,8.225472079068126,3.0,21.5,7.135623954972564,1.8098319012547737,Concord
conway,2,792500.0,792500.0,260.51284109865213,5176.0,92471.0,1757.0,8.621290276110445,2.3,4.25,8.570254458154448,1.4887783359093252,Conway
dalton,11,375000.0,437300.0,165.4364719921785,2654.0,81168.0,6304.0,8.546257668711657,2.2,28.0,4.620047309284447,2.5486058779201204,Dalton
danvers,30,697000.0,836806.3333333334,381.8267930261427,4399.5,117072.0,27924.0,8.214985289163392,3.4,38.5,5.953601202678693,2.2175247187180362,Danvers
dartmouth,57,995000.0,1503233.4561403508,382.5483870967742,6232.5,98662.0,32621.0,8.236097908865577,3.4,18.5,10.084936449696945,1.3191870570931943,Dartmouth
dedham,22,822000.0,1110772.1363636365,427.33627626912454,5136.0,124375.0,25109.0,8.24776975723896,3.2,35.0,6.609045226130653,2.018026349948079,Dedham
deerfield,14,657450.0,634785.7142857143,274.62453540261225,4736.0,103110.0,5136.0,8.621485714285715,2.6,19.25,6.3762001745708465,1.8142947635135136,Deerfield
dennis,51,699000.0,1115150.9803921569,561.8971061093248,4141.0,88183.0,14803.0,7.818564206268959,3.4,28.0,7.926697889615912,1.7745914835385976,Dennis
devens,1,999900.0,999900.0,410.97410604192356,6231.0,,,8.225742574257428,3.0,30.5,,,Devens
dighton,6,639950.0,625300.0,285.3857674167208,3993.0,137616.0,8122.0,8.237075291622482,3.4,14.5,4.650258690849901,2.8720260455797644,Dighton
douglas,8,649999.5,667437.375,396.8489633995348,4176.5,147185.0,9096.0,8.469009896705181,3.0,7.75,4.416207493970173,2.9367692246298733,Douglas
dover,24,3041500.0,3204583.3333333335,495.0084440766705,18972.0,250001.0,5893.0,8.233758972286925,3.4,11.25,12.165951336194656,1.0981138871319138,Dover
