town,townKey,medianHouseholdIncome,ownerOccupied,renterOccupied,medianHomeValueCensus,race_total,pop_white,pop_black,pop_asian,pop_hispanic,male_under_5,male_5_9,male_10_14,male_15_17,female_under_5,female_5_9,female_10_14,female_15_17,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_plus,emp_agriculture,emp_construction,emp_manufacturing,emp_wholesale,emp_retail,emp_information,emp_finance_real_estate,emp_professional,emp_education_health,emp_arts_food,emp_other_services,emp_public_administration,ageUnder18,age65Plus,age18to64,pop_other,ownerShare,renterShare,employmentTotalSelected,dominantIndustry
Abington,abington,119787,4777,1661,516300,17008,14647,133,572,591,612,452,689,429,510,643,194,95,156,204,192,217,81,107,151,232,209,222,236,126,0,737,397,318,121,887,289,381,221,0,84,457,3624,2133,11251,1656,0.7420006213109661,0.2579993786890339,3892,Information
Acton,acton,153338,6908,2177,757500,23961,15211,959,5862,900,404,1044,874,771,631,916,757,321,313,328,397,290,170,274,265,365,605,357,186,338,37,320,995,136,213,2296,207,396,182,7,40,617,5718,3888,14355,1929,0.7603742432581178,0.23962575674188222,5446,Information
Acushnet,acushnet,91050,3603,500,408300,10563,10005,20,49,206,266,285,293,159,272,377,170,146,109,185,314,353,110,93,169,238,350,240,149,63,15,483,314,227,57,403,170,65,167,9,53,272,1968,2373,6222,489,0.8781379478430417,0.12186205215695832,2235,Construction
Adams,adams,56285,2517,1564,199800,8106,7698,38,67,200,230,192,177,49,159,168,108,115,88,272,206,177,109,72,108,232,334,192,129,296,12,270,219,116,13,238,76,112,85,12,52,259,1198,2215,4693,303,0.6167605978926733,0.38323940210732665,1464,Construction
Agawam Town,agawam,82359,8689,3103,290000,28510,25487,815,669,1787,583,659,806,623,615,663,380,247,627,376,544,596,258,326,391,465,869,701,402,637,45,636,1291,885,88,693,283,484,244,29,103,607,4576,6192,17742,1539,0.7368554952510177,0.2631445047489824,5388,Manufacturing
Alford,alford,122292,181,14,814400,389,377,0,0,9,4,5,0,0,5,4,0,0,9,7,17,25,15,19,7,9,18,16,23,7,0,8,0,0,2,20,6,9,0,0,0,2,18,172,199,12,0.9282051282051282,0.07179487179487179,47,Information
Amesbury Town,amesbury,100599,5157,2388,475400,17277,15148,562,197,664,465,447,584,298,317,543,240,153,233,247,479,157,147,101,200,427,360,389,153,211,143,491,953,313,48,883,256,352,124,15,79,594,3047,3104,11126,1370,0.6834990059642148,0.3165009940357853,4251,Manufacturing
Amherst Town,amherst,65938,4150,4889,454000,35472,24069,1675,4903,3162,245,417,434,543,414,335,277,5014,210,215,558,263,170,80,329,299,577,374,174,254,0,169,387,220,126,765,76,618,168,53,0,291,7679,3503,24290,4825,0.45912158424604493,0.5408784157539551,2873,Information
Andover,andover,167591,10688,2591,813800,36465,26665,887,5755,2944,988,1049,1179,1080,1373,1212,981,557,394,663,657,468,113,199,545,682,747,528,492,305,95,611,1584,417,252,2772,542,594,263,0,75,522,8419,5793,22253,3158,0.8048798855335492,0.19512011446645078,7727,Information
Aquinnah,aquinnah,117813,210,32,1823200,667,402,17,10,10,1,11,24,17,50,0,3,8,0,23,57,2,5,6,7,3,75,18,12,1,4,24,1,0,0,44,4,8,2,0,0,25,114,209,344,238,0.8677685950413223,0.1322314049586777,112,Information
