cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,medianHomeValueCensus,medianBedrooms,medianBathrooms,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
abington,19,799000.0,784052.5263157894,343.77676240208876,5045.0,119787.0,516300.0,4.0,3.0,8.335748031496063,3.0,29.0,6.670172890213462,1.9786422200198217,Abington
acton,12,812450.0,845808.3333333334,345.3121439963545,5062.5,153338.0,757500.0,3.5,3.0,8.225520248043257,3.1,30.0,5.298425700087389,2.5240823045267486,Acton
acushnet,9,599700.0,628599.8888888889,246.99341021416805,3742.0,91050.0,408300.0,4.0,2.0,8.2368,3.6,26.5,6.586490939044481,2.027659005879209,Acushnet
adams,20,274450.0,307160.0,158.62812845291757,1776.5,56285.0,199800.0,3.0,2.0,8.547319383194722,2.6,39.5,4.876077107577507,2.640257059761704,Adams
agawam,23,389900.0,457147.82608695654,254.4935064935065,2570.0,82359.0,290000.0,3.0,2.0,8.699453993933266,3.0,20.5,4.7341517016962325,2.6705252918287936,Agawam Town
alford,5,1890000.0,2693000.0,411.6570831155253,12204.0,122292.0,814400.0,5.0,5.0,8.523428571428573,2.4,4.5,15.454813070356197,0.8350540806293019,Alford
amesbury,24,660500.0,740279.1666666666,316.8516373930387,4136.5,100599.0,475400.0,4.0,2.5,8.21534560731109,3.0,26.25,6.5656716269545425,2.0266529674845883,Amesbury Town
amherst,2,1125000.0,1125000.0,222.99070557015375,7394.5,65938.0,454000.0,3.5,4.5,8.679733333333335,2.6,11.25,17.061481998240772,0.7430973471273694,Amherst Town
andover,49,1099000.0,1279794.7142857143,391.6666666666667,6695.0,167591.0,813800.0,4.0,3.0,8.213938144329898,3.2,20.5,6.55763137638656,2.0860219068956933,Andover
arlington,42,998500.0,1089777.380952381,582.314862599874,6419.0,141440.0,885000.0,2.0,2.0,8.225413575754862,3.4,62.66666666666667,7.059530542986425,1.8362154021914108,Arlington
ashburnham,15,549000.0,549300.0,300.3714020427112,3522.0,115420.0,368200.0,3.0,2.0,8.468114285714288,2.6,14.0,4.756541327326286,2.730929396176415,Ashburnham
ashby,4,432500.0,428500.0,209.59444429791012,2804.0,110536.0,362200.0,3.0,1.5,8.224208416833669,2.6,5.0,3.9127524064558155,3.2850689491203044,Ashby
ashfield,2,660000.0,660000.0,189.70672356032614,4311.0,80216.0,373800.0,3.5,2.5,8.621866666666667,2.9000000000000004,4.75,8.227784980552508,1.550606974406557,Ashfield
ashland,6,719500.0,717983.3333333334,337.8834946434319,4483.5,127106.0,586000.0,3.0,3.0,8.225985607071049,3.2,20.5,5.6606297106352175,2.3624772313296902,Ashland
ashley falls,1,695000.0,695000.0,171.8595450049456,4499.0,,,3.0,6.0,8.544863309352518,,19.5,,,Ashley Falls
assonet,5,619900.0,582960.0,341.3546255506608,3869.0,,,3.0,2.0,8.237166666666667,3.5999999999999996,15.75,,,Assonet
athol,16,297000.0,323543.75,212.7237848299656,2249.0,65458.0,243900.0,3.0,2.0,8.469540703211942,2.5,22.5,4.537260533471844,2.425448347413665,Athol
attleboro,50,605400.0,656441.94,310.84804254356186,3778.0,93266.0,409100.0,3.0,3.0,8.237413976116763,3.3,20.0,6.491111444685094,2.0572172225163228,Attleboro
auburn,20,609900.0,632600.0,290.20907452231563,3912.5,100786.0,363100.0,4.0,3.0,8.467885607126115,2.8,19.25,6.051435715277916,2.146666666666667,Auburn
avon,7,629000.0,656242.8571428572,348.60529986053,3931.0,129487.0,482800.0,3.0,2.0,8.248984615384614,3.2,38.0,4.85763049572544,2.744997032137709,Avon
